,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,0.0,0.0
4,45000.0,60000.0,0.0006900842645417548,1.6000000000000003e-05
5,60000.0,70000.0,0.0019351455349810608,3.4e-05
6,70000.0,75000.0,0.001695515308516926,3.0000000000000004e-05
7,75000.0,100000.0,0.01757871912890395,0.00031200000000000005
8,100000.0,150000.0,0.09821319635806115,0.001804
9,150000.0,200000.0,0.13302611920367965,0.0025960000000000002
10,200000.0,300000.0,0.7585083197712138,0.012004
11,300000.0,400000.0,0.5055154800519589,0.010224000000000002
12,400000.0,450000.0,0.17390931691158032,0.004152
13,450000.0,510000.0,0.16837169562801405,0.004317
14,510000.0,512000.0,0.021882525364084814,0.00048800000000000004
15,512000.0,600000.0,0.19688291160227323,0.005394
16,600000.0,700000.0,0.18486011695946286,0.005503999999999999
17,700000.0,800000.0,0.15910084344349706,0.004861000000000001
18,800000.0,1000000.0,0.26626645429473894,0.008633000000000002
19,1000000.0,1330000.0,0.36900802325857673,0.012589
20,1330000.0,1340000.0,0.01112863090045577,0.0004070000000000001
21,1340000.0,1500000.0,0.1642528456702636,0.005783000000000001
22,1500000.0,1660000.0,0.16057504732931552,0.005641
23,1660000.0,2000000.0,0.3424313715842092,0.012182
24,2000000.0,2500000.0,38.24013195260938,0.7588730000000001
25,2500000.0,3000000.0,0.0,0.0
26,3000000.0,3500000.0,0.0,0.0
27,3500000.0,4000000.0,0.0,0.0
28,4000000.0,4500000.0,0.0,0.0
29,4500000.0,5000000.0,0.0,0.0
30,5000000.0,5500000.0,0.0,0.0
31,5500000.0,6000000.0,0.0,0.0
32,6000000.0,6500000.0,0.0,0.0
33,6500000.0,7000000.0,0.0,0.0
34,7000000.0,7500000.0,0.0,0.0
35,7500000.0,8000000.0,0.0,0.0
36,8000000.0,10000000.0,0.0,0.0
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
