,energy low [eV],energy high [eV],fn,cn
0,1e-05,0.1,9.64536771916281,0.036576038
1,0.1,0.41399,1.4164412435030573,0.0076803060000000005
2,0.41399,0.53158,0.06891957146331394,0.00053285
3,0.53158,0.68256,0.06817448585839245,0.000530326
4,0.68256,0.87643,0.06775897496952751,0.0005317900000000001
5,0.87643,1.123,0.06700162062090695,0.0005286900000000001
6,1.123,1.44,0.06711250743193384,0.00053224
7,1.44,1.8554,0.06851049212055514,0.000546219
8,1.8554,2.3824,0.06765613741979966,0.000540801
9,2.3824,3.059,0.06785342065067754,0.0005463010000000001
10,3.059,3.9279,0.06803534475338983,0.0005500990000000001
11,3.9279,5.0435,0.06830730618289807,0.0005555569999999999
12,5.0435,6.476,0.06857864911475496,0.000560522
13,6.476,8.3153,0.06885422410378474,0.0005646659999999999
14,8.3153,10.677,0.06917832154847897,0.000570883
15,10.677,13.71,0.069496821663616,0.0005746850000000001
16,13.71,17.604,0.06983751583072388,0.000580222
17,17.604,22.603,0.07014385342117498,0.0005868220000000001
18,22.603,29.023,0.07050780633861634,0.0005919520000000001
19,29.023,37.267,0.07086086145528787,0.0005981579999999999
20,37.267,47.851,0.07118558076851586,0.000603711
21,47.851,61.442,0.071567194700482,0.000610567
22,61.442,78.893,0.07195817000304112,0.000617914
23,78.893,101.3,0.0723298240974363,0.000622843
24,101.3,130.07,0.07266473538129994,0.0006326779999999999
25,130.07,167.02,0.07308339557528191,0.0006403040000000001
26,167.02,214.45,0.07348460214094069,0.00064741
27,214.45,275.36,0.07384126239485231,0.000654823
28,275.36,353.57,0.07429437641178034,0.000665033
29,353.57,454.0,0.07473604194177484,0.000674716
30,454.0,582.95,0.07517991188903558,0.000685634
31,582.95,748.52,0.07567697841270196,0.0006947570000000001
32,748.52,961.12,0.07614507043442614,0.00070725
33,961.12,1234.1,0.076681839345502,0.0007196050000000001
34,1234.1,1584.6,0.07721515692152167,0.0007331750000000001
35,1584.6,2034.7,0.07790501742348643,0.000747459
36,2034.7,2248.7,0.03134780680870888,0.000304005
37,2248.7,2485.2,0.03146319676902144,0.000305477
38,2485.2,2612.6,0.015781151419918104,0.00015448300000000002
39,2612.6,2746.5,0.01579966381378828,0.000154491
40,2746.5,3035.4,0.031697579167080506,0.000311034
41,3035.4,3354.6,0.031829490510688924,0.000313052
42,3354.6,3707.4,0.03197512973022461,0.00031791300000000007
43,3707.4,4307.4,0.04824820367044622,0.000481954
44,4307.4,5530.8,0.0812129489654814,0.0008212480000000001
45,5530.8,7101.7,0.08241497600120093,0.0008450649999999999
46,7101.7,9118.8,0.08380515980002554,0.0008740739999999999
47,9118.8,10595.0,0.05107456083277849,0.000540282
48,10595.0,11709.0,0.03440594972036429,0.000366399
49,11709.0,15034.0,0.08748752977868415,0.000941992
50,15034.0,19304.0,0.08995273283956098,0.000988471
51,19304.0,21875.0,0.04609150557617269,0.0005141599999999999
52,21875.0,23579.0,0.028020410125327633,0.00031546600000000003
53,23579.0,24176.0,0.009405938180258103,0.00010619400000000002
54,24176.0,24788.0,0.00944948310215513,0.00010664300000000002
55,24788.0,26058.0,0.018974899969668273,0.000214752
56,26058.0,27000.0,0.013584967592739167,0.000154525
57,27000.0,28501.0,0.02083570345052609,0.00023834700000000003
58,28501.0,31828.0,0.043142486153047506,0.0004977690000000001
59,31828.0,34307.0,0.029830170157065634,0.000346752
60,34307.0,40868.0,0.071494851338808,0.0008419370000000001
61,40868.0,46309.0,0.05276454907651369,0.000630592
62,46309.0,52475.0,0.05438599852476356,0.0006591530000000001
63,52475.0,56562.0,0.033485530881589745,0.000408951
64,56562.0,67380.0,0.08101428010956356,0.001005764
65,67380.0,72024.0,0.03191286444045622,0.000402208
66,72024.0,79499.0,0.048608845312078916,0.0006161200000000001
67,79499.0,82503.0,0.018674370778331634,0.00023820400000000003
68,82503.0,86517.0,0.024252811187425668,0.000311261
69,86517.0,98036.0,0.06579657360168871,0.000853951
