,energy low [eV],energy high [eV],fn,cn
0,1e-05,0.1,0.0009699594109311198,0.0014680000000000001
1,0.1,0.41399,0.0003747825764161603,0.000565
2,0.41399,0.53158,5.362627760588982e-05,8.15e-05
3,0.53158,0.68256,5.367748862084532e-05,8.049999999999998e-05
4,0.68256,0.87643,5.195339234054785e-05,7.89e-05
5,0.87643,1.123,5.4616614947990885e-05,8.41e-05
6,1.123,1.44,5.629045118989471e-05,8.59e-05
7,1.44,1.8554,5.6905360437327444e-05,8.79e-05
8,1.8554,2.3824,6.18655902937806e-05,9.41e-05
9,2.3824,3.059,6.605572366412933e-05,9.63e-05
10,3.059,3.9279,6.235458156020754e-05,9.47e-05
11,3.9279,5.0435,6.221861458443919e-05,9.510000000000001e-05
12,5.0435,6.476,7.005868539585338e-05,0.0001062
13,6.476,8.3153,7.147539555276538e-05,0.000108
14,8.3153,10.677,7.243205077294753e-05,0.00010989999999999999
15,10.677,13.71,7.394877472374611e-05,0.0001098
16,13.71,17.604,8.017833983811397e-05,0.00012119999999999999
17,17.604,22.603,7.837536003744419e-05,0.0001201
18,22.603,29.023,8.58868469673895e-05,0.0001307
19,29.023,37.267,8.47854423290574e-05,0.00012859999999999998
20,37.267,47.851,8.906308319431226e-05,0.0001371
21,47.851,61.442,9.328782371571486e-05,0.0001418
22,61.442,78.893,9.86778614021416e-05,0.00014989999999999998
23,78.893,101.3,0.00010348849412284587,0.00015659999999999998
24,101.3,130.07,0.00010204386882761447,0.00015309999999999998
25,130.07,167.02,0.00010346338845488739,0.0001572
26,167.02,214.45,0.00010669028958460708,0.00016189999999999998
27,214.45,275.36,0.00011705102377213957,0.0001782
28,275.36,353.57,0.00012068329522087991,0.0001839
29,353.57,454.0,0.00012203029612828434,0.00018549999999999998
30,454.0,582.95,0.00012593298262614732,0.0001914
31,582.95,748.52,0.00013443174820450415,0.00020309999999999998
32,748.52,961.12,0.00013693646919828262,0.00020889999999999998
33,961.12,1234.1,0.0001414127715251798,0.000214
34,1234.1,1584.6,0.00014768815294958888,0.00022549999999999995
35,1584.6,2034.7,0.00015651849029442333,0.00023699999999999996
