,energy low [eV],energy high [eV],fn,cn
0,1e-05,0.1,131.05360725861846,0.12512661799999997
1,0.1,0.41399,17.589919860388793,0.016914056
2,0.41399,0.53158,0.012169037965722466,3.100000000000001e-07
3,0.53158,0.68256,0.00014798847393660323,2e-09
4,0.68256,0.87643,5.018492135863221e-07,0.0
5,0.87643,1.123,0.0,0.0
6,1.123,1.44,0.0,0.0
7,1.44,1.8554,0.0,0.0
8,1.8554,2.3824,0.0,0.0
9,2.3824,3.059,0.0,0.0
10,3.059,3.9279,0.0,0.0
11,3.9279,5.0435,0.0,0.0
12,5.0435,6.476,0.0,0.0
13,6.476,8.3153,0.0,0.0
14,8.3153,10.677,0.0,0.0
15,10.677,13.71,0.0,0.0
16,13.71,17.604,0.0,0.0
17,17.604,22.603,0.0,0.0
18,22.603,29.023,0.0,0.0
19,29.023,37.267,0.0,0.0
20,37.267,47.851,0.0,0.0
21,47.851,61.442,0.0,0.0
22,61.442,78.893,0.0,0.0
23,78.893,101.3,0.0,0.0
24,101.3,130.07,0.0,0.0
25,130.07,167.02,0.0,0.0
26,167.02,214.45,0.0,0.0
27,214.45,275.36,0.0,0.0
28,275.36,353.57,0.0,0.0
29,353.57,454.0,0.0,0.0
30,454.0,582.95,0.0,0.0
31,582.95,748.52,0.0,0.0
32,748.52,961.12,0.0,0.0
33,961.12,1234.1,0.0,0.0
34,1234.1,1584.6,0.0,0.0
35,1584.6,2034.7,0.0,0.0
36,2034.7,2248.7,0.0,0.0
37,2248.7,2485.2,0.0,0.0
38,2485.2,2612.6,0.0,0.0
39,2612.6,2746.5,0.0,0.0
40,2746.5,3035.4,0.0,0.0
41,3035.4,3354.6,0.0,0.0
42,3354.6,3707.4,0.0,0.0
43,3707.4,4307.4,0.0,0.0
44,4307.4,5530.8,0.0,0.0
45,5530.8,7101.7,0.0,0.0
46,7101.7,9118.8,0.0,0.0
47,9118.8,10595.0,0.0,0.0
48,10595.0,11709.0,0.0,0.0
49,11709.0,15034.0,0.0,0.0
50,15034.0,19304.0,0.0,0.0
51,19304.0,21875.0,0.0,0.0
52,21875.0,23579.0,0.0,0.0
53,23579.0,24176.0,0.0,0.0
54,24176.0,24788.0,0.0,0.0
55,24788.0,26058.0,0.0,0.0
56,26058.0,27000.0,0.0,0.0
57,27000.0,28501.0,0.0,0.0
58,28501.0,31828.0,0.0,0.0
59,31828.0,34307.0,0.0,0.0
60,34307.0,40868.0,0.0,0.0
61,40868.0,46309.0,0.0,0.0
62,46309.0,52475.0,0.0,0.0
63,52475.0,56562.0,0.0,0.0
64,56562.0,67380.0,0.0,0.0
65,67380.0,72024.0,0.0,0.0
66,72024.0,79499.0,0.0,0.0
67,79499.0,82503.0,0.0,0.0
68,82503.0,86517.0,0.0,0.0
69,86517.0,98036.0,0.0,0.0
70,98036.0,111090.0,0.0,0.0
71,111090.0,116790.0,0.0,0.0
72,116790.0,122770.0,0.0,0.0
73,122770.0,129070.0,0.0,0.0
74,129070.0,135690.0,0.0,0.0
75,135690.0,142640.0,0.0,0.0
76,142640.0,149960.0,0.0,0.0
77,149960.0,157640.0,0.0,0.0
78,157640.0,165730.0,0.0,0.0
79,165730.0,174220.0,0.0,0.0
80,174220.0,183160.0,0.0,0.0
81,183160.0,192550.0,0.0,0.0
82,192550.0,202420.0,0.0,0.0
83,202420.0,212800.0,0.0,0.0
84,212800.0,223710.0,0.0,0.0
85,223710.0,235180.0,0.0,0.0
86,235180.0,247240.0,0.0,0.0
87,247240.0,273240.0,0.0,0.0
88,273240.0,287250.0,0.0,0.0
89,287250.0,294520.0,0.0,0.0
90,294520.0,297210.0,0.0,0.0
91,297210.0,298490.0,0.0,0.0
92,298490.0,301970.0,0.0,0.0
93,301970.0,333730.0,0.0,0.0
94,333730.0,368830.0,0.0,0.0
95,368830.0,387740.0,0.0,0.0
96,387740.0,407620.0,0.0,0.0
