,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,5.9199280974267724e-05,1.13e-06
4,45000.0,60000.0,0.0006930408614652793,1.3179999999999997e-05
5,60000.0,70000.0,0.0015666159267979846,2.9099999999999996e-05
6,70000.0,75000.0,0.0013550398378179658,2.5039999999999997e-05
7,75000.0,100000.0,0.01579552854333489,0.00029068000000000003
8,100000.0,150000.0,0.0986556803082572,0.0018237099999999999
9,150000.0,200000.0,0.13907577966218873,0.0027119999999999996
10,200000.0,300000.0,0.7536167382843787,0.011960019999999998
11,300000.0,400000.0,0.5120464425201682,0.01032879
12,400000.0,450000.0,0.17226908317248507,0.004109239999999999
13,450000.0,510000.0,0.1694281511418075,0.004364999999999999
14,510000.0,512000.0,0.019187318042312718,0.00043298999999999996
15,512000.0,600000.0,0.19950945455592256,0.00552648
16,600000.0,700000.0,0.18456199047393362,0.00544918
17,700000.0,800000.0,0.1574859715094021,0.004869419999999999
18,800000.0,1000000.0,0.26667135140766235,0.00864626
19,1000000.0,1330000.0,0.37210666685337207,0.012639909999999999
20,1330000.0,1340000.0,0.010457776988939353,0.00036209999999999997
21,1340000.0,1500000.0,0.16541911597459452,0.0057928799999999985
22,1500000.0,1660000.0,0.16062935521956048,0.005694469999999999
23,1660000.0,2000000.0,0.3371656590441469,0.012117059999999999
24,2000000.0,2500000.0,38.344646576855624,0.76079701
25,2500000.0,3000000.0,0.0,0.0
26,3000000.0,3500000.0,0.0,0.0
27,3500000.0,4000000.0,0.0,0.0
28,4000000.0,4500000.0,0.0,0.0
29,4500000.0,5000000.0,0.0,0.0
30,5000000.0,5500000.0,0.0,0.0
31,5500000.0,6000000.0,0.0,0.0
32,6000000.0,6500000.0,0.0,0.0
33,6500000.0,7000000.0,0.0,0.0
34,7000000.0,7500000.0,0.0,0.0
35,7500000.0,8000000.0,0.0,0.0
36,8000000.0,10000000.0,0.0,0.0
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
