,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,0.0,0.0
4,45000.0,60000.0,0.0,0.0
5,60000.0,70000.0,0.0,0.0
6,70000.0,75000.0,0.0,0.0
7,75000.0,100000.0,0.0,0.0
8,100000.0,150000.0,0.003642254244345856,0.0001
9,150000.0,200000.0,0.008250813864963921,0.00030000000000000003
10,200000.0,300000.0,0.06589594709181705,0.0014
11,300000.0,400000.0,0.03971574601880025,0.0009000000000000001
12,400000.0,450000.0,0.02027014749075086,0.0004
13,450000.0,510000.0,0.007163310620508473,0.0002
14,510000.0,512000.0,0.0,0.0
15,512000.0,600000.0,0.014783949708134852,0.00030000000000000003
16,600000.0,700000.0,0.011606216534213173,0.0004
17,700000.0,800000.0,0.016159256150869373,0.00030000000000000003
18,800000.0,1000000.0,0.022160837245844785,0.0008
19,1000000.0,1330000.0,0.012391601113867128,0.0005
20,1330000.0,1340000.0,0.0,0.0
21,1340000.0,1500000.0,0.003814232452797195,0.00030000000000000003
22,1500000.0,1660000.0,0.00708750516133865,0.00030000000000000003
23,1660000.0,2000000.0,0.04061040996664091,0.0009000000000000001
24,2000000.0,2500000.0,2.769432840249393,0.060399999999999995
25,2500000.0,3000000.0,0.0,0.0
26,3000000.0,3500000.0,0.0,0.0
27,3500000.0,4000000.0,0.0,0.0
28,4000000.0,4500000.0,0.0,0.0
29,4500000.0,5000000.0,0.0,0.0
30,5000000.0,5500000.0,0.0,0.0
31,5500000.0,6000000.0,0.0,0.0
32,6000000.0,6500000.0,0.0,0.0
33,6500000.0,7000000.0,0.0,0.0
34,7000000.0,7500000.0,0.0,0.0
35,7500000.0,8000000.0,0.0,0.0
36,8000000.0,10000000.0,0.002494722470280707,0.0001
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
