,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,1.5892388158955146e-06,6e-08
4,45000.0,60000.0,5.1162968892181826e-05,8.9e-07
5,60000.0,70000.0,9.42085609525705e-05,1.59e-06
6,70000.0,75000.0,9.326316707288827e-05,1.6099999999999998e-06
7,75000.0,100000.0,0.0009513349600414826,1.818e-05
8,100000.0,150000.0,0.005926789689462716,0.00011328999999999998
9,150000.0,200000.0,0.008749744824688467,0.000176
10,200000.0,300000.0,0.047076824974931146,0.0008256099999999998
11,300000.0,400000.0,0.03308906374547994,0.0007037299999999999
12,400000.0,450000.0,0.01157682852794864,0.00028007
13,450000.0,510000.0,0.011487587542032851,0.00029893000000000004
14,510000.0,512000.0,0.0012409618927934677,2.922e-05
15,512000.0,600000.0,0.013547134764863758,0.0003738
16,600000.0,700000.0,0.012753076500340677,0.00037307
17,700000.0,800000.0,0.010884942296337904,0.0003307699999999999
18,800000.0,1000000.0,0.018333667374119064,0.0005849099999999999
19,1000000.0,1330000.0,0.025606654108753006,0.0008568499999999999
20,1330000.0,1340000.0,0.0007023664035535098,2.4e-05
21,1340000.0,1500000.0,0.011372755217667986,0.00039041999999999994
22,1500000.0,1660000.0,0.01111786827260152,0.00038956000000000006
23,1660000.0,2000000.0,0.023285928778497684,0.0008212199999999999
24,2000000.0,2500000.0,2.5964097501676298,0.05770856
25,2500000.0,3000000.0,4.926656871918481e-05,1.11e-06
26,3000000.0,3500000.0,4.025823939516456e-05,9.5e-07
27,3500000.0,4000000.0,3.651262634690349e-05,8.699999999999999e-07
28,4000000.0,4500000.0,3.813709398809114e-05,8.699999999999999e-07
29,4500000.0,5000000.0,3.906603605626558e-05,8.699999999999999e-07
30,5000000.0,5500000.0,2.936047281323176e-05,7.4e-07
31,5500000.0,6000000.0,2.589146554772615e-05,6.4e-07
32,6000000.0,6500000.0,2.6892825574118433e-05,6.7e-07
33,6500000.0,7000000.0,2.6483638390256253e-05,6.100000000000001e-07
34,7000000.0,7500000.0,2.343354424980638e-05,5.199999999999999e-07
35,7500000.0,8000000.0,2.1910092345560593e-05,4.8e-07
36,8000000.0,10000000.0,0.0010258734057008577,2.1720000000000002e-05
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
