,energy low [eV],energy high [eV],fn,cn
0,1e-05,0.1,9.547514101551332,0.036140000000000005
1,0.1,0.41399,1.4276483886848887,0.007300000000000001
2,0.41399,0.53158,0.0656207659778117,0.0005200000000000001
3,0.53158,0.68256,0.06770385073259276,0.00059
4,0.68256,0.87643,0.06374860995408765,0.00053
5,0.87643,1.123,0.0634667678640854,0.00048000000000000007
6,1.123,1.44,0.0666854873738776,0.00042000000000000007
7,1.44,1.8554,0.06972635453195498,0.00058
8,1.8554,2.3824,0.06725439055479707,0.00058
9,2.3824,3.059,0.06498108573352579,0.00051
10,3.059,3.9279,0.06748952442234027,0.0007000000000000001
11,3.9279,5.0435,0.07092547761535024,0.00047000000000000004
12,5.0435,6.476,0.0661787273670021,0.0006200000000000001
13,6.476,8.3153,0.07098875616136796,0.00068
14,8.3153,10.677,0.06846462024155764,0.00056
15,10.677,13.71,0.06778520273454389,0.00048000000000000007
16,13.71,17.604,0.07076979346713755,0.00046000000000000007
17,17.604,22.603,0.06553973342690984,0.0005099999999999999
18,22.603,29.023,0.06979156394063475,0.00062
19,29.023,37.267,0.06847489616923155,0.00052
20,37.267,47.851,0.07063443694924584,0.00059
21,47.851,61.442,0.07079144164047771,0.0006500000000000001
22,61.442,78.893,0.06936419755249346,0.00067
23,78.893,101.3,0.07080597007064585,0.00046000000000000007
24,101.3,130.07,0.07268225652052415,0.00063
25,130.07,167.02,0.07483578175232895,0.0007900000000000001
26,167.02,214.45,0.07210070795906284,0.0006800000000000002
27,214.45,275.36,0.0733759906202495,0.0005
28,275.36,353.57,0.07457694955113954,0.0007400000000000001
29,353.57,454.0,0.07441798286202991,0.00069
30,454.0,582.95,0.07176439723813152,0.0007899999999999999
31,582.95,748.52,0.07636547073785635,0.0008300000000000002
32,748.52,961.12,0.0738525911435402,0.0007900000000000001
33,961.12,1234.1,0.07940997078323744,0.00071
34,1234.1,1584.6,0.07526355001021365,0.0008500000000000001
35,1584.6,2034.7,0.07616406933090406,0.00083
36,2034.7,2248.7,0.029615230027089177,0.00023
37,2248.7,2485.2,0.030204447047157273,0.00030000000000000003
38,2485.2,2612.6,0.01592342348420327,0.00015000000000000001
39,2612.6,2746.5,0.01665670604850889,0.00016000000000000004
40,2746.5,3035.4,0.03258199052902399,0.00027
41,3035.4,3354.6,0.03375428132207002,0.00033
42,3354.6,3707.4,0.03230243933377861,0.00035
43,3707.4,4307.4,0.04834731324986962,0.00056
44,4307.4,5530.8,0.07920140246243758,0.00092
45,5530.8,7101.7,0.08567539271995407,0.0009200000000000001
46,7101.7,9118.8,0.0829149625474889,0.0009299999999999999
47,9118.8,10595.0,0.05075038566886314,0.00045000000000000004
48,10595.0,11709.0,0.03440858367783143,0.00041000000000000005
49,11709.0,15034.0,0.08671183280691327,0.0008400000000000001
50,15034.0,19304.0,0.08545578222392201,0.00112
51,19304.0,21875.0,0.044715080319566246,0.00048000000000000007
52,21875.0,23579.0,0.02819693654660551,0.00036
53,23579.0,24176.0,0.008537256011035341,0.00011
54,24176.0,24788.0,0.00974385958141871,8e-05
55,24788.0,26058.0,0.01879214731481692,0.00016000000000000004
56,26058.0,27000.0,0.013797870484811079,0.00015000000000000001
57,27000.0,28501.0,0.02012900558139712,0.00022000000000000006
58,28501.0,31828.0,0.042467117956861686,0.00053
59,31828.0,34307.0,0.028050023653414274,0.00029
60,34307.0,40868.0,0.0681527780095518,0.00091
61,40868.0,46309.0,0.05261349501929519,0.00073
62,46309.0,52475.0,0.05590618580541079,0.0005099999999999999
63,52475.0,56562.0,0.032876480237815794,0.0003800000000000001
64,56562.0,67380.0,0.08042372034767316,0.00109
65,67380.0,72024.0,0.03325184092036075,0.00032999999999999994
66,72024.0,79499.0,0.04952432083429629,0.0007700000000000001
67,79499.0,82503.0,0.019554721373883067,0.00033
68,82503.0,86517.0,0.023322552890761173,0.0003200000000000001
69,86517.0,98036.0,0.0659509716951394,0.00091
70,98036.0,111090.0,0.06516162725027823,0.0008500000000000001
71,111090.0,116790.0,0.028794046875741698,0.00043
72,116790.0,122770.0,0.029343655244311383,0.0004700000000000001
73,122770.0,129070.0,0.029560284130088404,0.00025
74,129070.0,135690.0,0.032616301997533216,0.00041000000000000005
75,135690.0,142640.0,0.03216974916475064,0.0005099999999999999
76,142640.0,149960.0,0.03139993567791813,0.00045000000000000004
77,149960.0,157640.0,0.03476202692796361,0.00044
78,157640.0,165730.0,0.030567715196114682,0.00046
79,165730.0,174220.0,0.03469132499421658,0.00038
80,174220.0,183160.0,0.03640873280158142,0.00057
81,183160.0,192550.0,0.03593976712250571,0.00051
82,192550.0,202420.0,0.03695551513859836,0.0004900000000000001
83,202420.0,212800.0,0.039944161748809895,0.00076
84,212800.0,223710.0,0.03917524013478446,0.0005600000000000001
85,223710.0,235180.0,0.0379857717877853,0.0005300000000000001
86,235180.0,247240.0,0.040652081304755706,0.0006200000000000001
87,247240.0,273240.0,0.0809805412619363,0.00095
88,273240.0,287250.0,0.04119933823234125,0.00049
89,287250.0,294520.0,0.020887229759678386,0.0004
90,294520.0,297210.0,0.00937850717971564,0.00015000000000000001
91,297210.0,298490.0,0.003695261330003762,7.000000000000001e-05
92,298490.0,301970.0,0.011595615136159554,0.00014
93,301970.0,333730.0,0.0902295061269122,0.0013700000000000001
94,333730.0,368830.0,0.09266499545819415,0.00145
95,368830.0,387740.0,0.049949943687031026,0.0008200000000000001
96,387740.0,407620.0,0.05002894769025094,0.0009299999999999999
97,407620.0,450490.0,0.10812241011457338,0.0017800000000000003
