,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,4.297214798231048e-05,1.0999999999999998e-06
4,45000.0,60000.0,0.0006332947866292311,1.2e-05
5,60000.0,70000.0,0.0015312382646183553,3.0099999999999993e-05
6,70000.0,75000.0,0.0014023760287402575,2.54e-05
7,75000.0,100000.0,0.01574356636986356,0.0002851
8,100000.0,150000.0,0.09878408062225483,0.0018286999999999997
9,150000.0,200000.0,0.13732047613680043,0.0026792
10,200000.0,300000.0,0.7536328109912704,0.011966599999999999
11,300000.0,400000.0,0.5132369842361347,0.010353499999999998
12,400000.0,450000.0,0.1732000746490992,0.004123999999999999
13,450000.0,510000.0,0.170513235331527,0.004383
14,510000.0,512000.0,0.019862670479812543,0.0004521
15,512000.0,600000.0,0.19932148264728758,0.0055445
16,600000.0,700000.0,0.18534504402919758,0.005459599999999999
17,700000.0,800000.0,0.15903946748739192,0.0049063
18,800000.0,1000000.0,0.26571639092766197,0.008652000000000002
19,1000000.0,1330000.0,0.3735346707073056,0.0126743
20,1330000.0,1340000.0,0.010731099818908612,0.0003712999999999999
21,1340000.0,1500000.0,0.166802994149447,0.005806999999999999
22,1500000.0,1660000.0,0.1595649985447655,0.0056722
23,1660000.0,2000000.0,0.3377101304265553,0.0121432
24,2000000.0,2500000.0,38.35251222348713,0.760829
25,2500000.0,3000000.0,0.0,0.0
26,3000000.0,3500000.0,0.0,0.0
27,3500000.0,4000000.0,0.0,0.0
28,4000000.0,4500000.0,0.0,0.0
29,4500000.0,5000000.0,0.0,0.0
30,5000000.0,5500000.0,0.0,0.0
31,5500000.0,6000000.0,0.0,0.0
32,6000000.0,6500000.0,0.0,0.0
33,6500000.0,7000000.0,0.0,0.0
34,7000000.0,7500000.0,0.0,0.0
35,7500000.0,8000000.0,0.0,0.0
36,8000000.0,10000000.0,0.0,0.0
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
