,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,0.0,0.0
4,45000.0,60000.0,0.0,0.0
5,60000.0,70000.0,0.0,0.0
6,70000.0,75000.0,0.0,0.0
7,75000.0,100000.0,5.1312863402879036e-08,1e-07
8,100000.0,150000.0,0.0,0.0
9,150000.0,200000.0,1.7442786514265534e-06,1e-07
10,200000.0,300000.0,1.0880213870256026e-06,1.7e-06
11,300000.0,400000.0,5.589647462658167e-07,8e-07
12,400000.0,450000.0,4.004783867145766e-07,6.999999999999999e-07
13,450000.0,510000.0,2.7616036595770215e-07,4e-07
14,510000.0,512000.0,6.862882687314844e-08,1e-07
15,512000.0,600000.0,2.2695633885496329e-07,4e-07
16,600000.0,700000.0,1.5238870883571615e-06,5e-07
17,700000.0,800000.0,5.439856093963324e-07,6e-07
18,800000.0,1000000.0,2.057257711479552e-06,1.2e-06
19,1000000.0,1330000.0,5.738893261123842e-07,8.999999999999999e-07
20,1330000.0,1340000.0,5.280338903374257e-08,1e-07
21,1340000.0,1500000.0,2.581074119182775e-07,4e-07
22,1500000.0,1660000.0,1.239356214941823e-06,6.999999999999999e-07
23,1660000.0,2000000.0,8.830423193519863e-07,1.4e-06
24,2000000.0,2500000.0,0.0001878792873662439,0.0002857
25,2500000.0,3000000.0,1.211497525719209e-07,0.0
26,3000000.0,3500000.0,5.007785050723945e-06,-2e-07
27,3500000.0,4000000.0,6.537241502538401e-06,-1e-07
28,4000000.0,4500000.0,5.410354968190453e-06,-3e-07
29,4500000.0,5000000.0,0.0,0.0
30,5000000.0,5500000.0,7.690473254583057e-06,-1e-07
31,5500000.0,6000000.0,5.398620780288387e-07,1e-07
32,6000000.0,6500000.0,2.6586475414733028e-06,3e-07
33,6500000.0,7000000.0,3.3504986839914715e-06,1e-07
34,7000000.0,7500000.0,3.111785230824071e-07,0.0
35,7500000.0,8000000.0,9.03950932804884e-08,0.0
36,8000000.0,10000000.0,3.962748909173334e-06,6.7e-06
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
