,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,0.0,0.0
3,30000.0,45000.0,0.0,0.0
4,45000.0,60000.0,0.0,0.0
5,60000.0,70000.0,0.0,0.0
6,70000.0,75000.0,0.0072924577073863045,0.0001
7,75000.0,100000.0,0.015372739693298587,0.0002
8,100000.0,150000.0,0.09072317121425123,0.0014000000000000002
9,150000.0,200000.0,0.12050871920178399,0.0024000000000000002
10,200000.0,300000.0,0.6312069482825018,0.0099
11,300000.0,400000.0,0.46002029683725176,0.010199999999999999
12,400000.0,450000.0,0.17203642866990707,0.004
13,450000.0,510000.0,0.09895025212429504,0.0029000000000000007
14,510000.0,512000.0,0.016365170961749727,0.0004
15,512000.0,600000.0,0.16147761992081294,0.0043
16,600000.0,700000.0,0.13620694085078694,0.004599999999999999
17,700000.0,800000.0,0.16246255304542584,0.0048000000000000004
18,800000.0,1000000.0,0.284509773441994,0.009800000000000001
19,1000000.0,1330000.0,0.33210515324513035,0.0115
20,1330000.0,1340000.0,0.027842881079778774,0.0008
21,1340000.0,1500000.0,0.17559426543881126,0.0056
22,1500000.0,1660000.0,0.14883135619362997,0.0059
23,1660000.0,2000000.0,0.34646781196441023,0.013000000000000001
24,2000000.0,2500000.0,37.99009954474685,0.7504000000000001
25,2500000.0,3000000.0,0.0,0.0
26,3000000.0,3500000.0,0.0,0.0
27,3500000.0,4000000.0,0.0,0.0
28,4000000.0,4500000.0,0.0,0.0
29,4500000.0,5000000.0,0.0,0.0
30,5000000.0,5500000.0,0.0,0.0
31,5500000.0,6000000.0,0.0,0.0
32,6000000.0,6500000.0,0.0,0.0
33,6500000.0,7000000.0,0.0,0.0
34,7000000.0,7500000.0,0.0,0.0
35,7500000.0,8000000.0,0.0,0.0
36,8000000.0,10000000.0,0.0,0.0
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
