,energy low [eV],energy high [eV],fg,cg
0,1000.0,10000.0,0.0,0.0
1,10000.0,20000.0,0.0,0.0
2,20000.0,30000.0,2.1067566054321765e-07,5.999999999999999e-09
3,30000.0,45000.0,5.894692000176561e-05,1.103e-06
4,45000.0,60000.0,0.0007067821849574468,1.3180000000000001e-05
5,60000.0,70000.0,0.001573391163646087,2.9106000000000006e-05
6,70000.0,75000.0,0.0013899482223799398,2.5703e-05
7,75000.0,100000.0,0.015831376524963393,0.00029070499999999993
8,100000.0,150000.0,0.09856140535062012,0.00181939
9,150000.0,200000.0,0.1389972341262668,0.002712781
10,200000.0,300000.0,0.7532054302455609,0.011947276000000001
11,300000.0,400000.0,0.5124116264598936,0.010339922999999997
12,400000.0,450000.0,0.1729162213458651,0.004124116000000001
13,450000.0,510000.0,0.16971207952557266,0.004369349
14,510000.0,512000.0,0.019336847929735383,0.000434484
15,512000.0,600000.0,0.1993540090084201,0.005523132
16,600000.0,700000.0,0.18490878570378017,0.0054614070000000015
17,700000.0,800000.0,0.15748516307362337,0.004873439000000001
18,800000.0,1000000.0,0.26722972158395236,0.008657046
19,1000000.0,1330000.0,0.37211097535198034,0.012645284000000001
20,1330000.0,1340000.0,0.010522452474821862,0.000365622
21,1340000.0,1500000.0,0.16535646013906247,0.005788395
22,1500000.0,1660000.0,0.1610650295159574,0.005707609
23,1660000.0,2000000.0,0.3372203248840425,0.012120152000000002
24,2000000.0,2500000.0,38.34807375648445,0.76084151
25,2500000.0,3000000.0,0.0,0.0
26,3000000.0,3500000.0,0.0,0.0
27,3500000.0,4000000.0,0.0,0.0
28,4000000.0,4500000.0,0.0,0.0
29,4500000.0,5000000.0,0.0,0.0
30,5000000.0,5500000.0,0.0,0.0
31,5500000.0,6000000.0,0.0,0.0
32,6000000.0,6500000.0,0.0,0.0
33,6500000.0,7000000.0,0.0,0.0
34,7000000.0,7500000.0,0.0,0.0
35,7500000.0,8000000.0,0.0,0.0
36,8000000.0,10000000.0,0.0,0.0
37,10000000.0,12000000.0,0.0,0.0
38,12000000.0,14000000.0,0.0,0.0
39,14000000.0,20000000.0,0.0,0.0
40,20000000.0,30000000.0,0.0,0.0
41,30000000.0,50000000.0,0.0,0.0
