,energy low [eV],energy high [eV],fn,cn
0,1e-05,0.1,9.59664828486992,0.034499999999999996
1,0.1,0.41399,1.398449416033436,0.0087
2,0.41399,0.53158,0.06904977870558546,0.00030000000000000003
3,0.53158,0.68256,0.06856067282319085,0.0005
4,0.68256,0.87643,0.062187008686159784,0.0002
5,0.87643,1.123,0.06681024944218691,0.0004
6,1.123,1.44,0.06482494103360238,0.0006000000000000001
7,1.44,1.8554,0.06531292796223329,0.0
8,1.8554,2.3824,0.05958278707960246,0.0008
9,2.3824,3.059,0.06005932285178356,0.00030000000000000003
10,3.059,3.9279,0.06205014807264521,0.0006000000000000001
11,3.9279,5.0435,0.06973531505682702,0.0007
12,5.0435,6.476,0.05775670906595619,0.0008
13,6.476,8.3153,0.06283329236158496,0.0008
14,8.3153,10.677,0.06980405525087516,0.0006000000000000001
15,10.677,13.71,0.07612314865463372,0.0009000000000000001
16,13.71,17.604,0.06668391208980332,0.0006000000000000001
17,17.604,22.603,0.06527761682039541,0.0005
18,22.603,29.023,0.07209871840739313,0.0004
19,29.023,37.267,0.07035969593511107,0.0005
20,37.267,47.851,0.0641400123396965,0.0004
21,47.851,61.442,0.07298602476691013,0.0005
22,61.442,78.893,0.06773605957610783,0.0004
23,78.893,101.3,0.0660582901333281,0.0006000000000000001
24,101.3,130.07,0.06825722944555067,0.0008
25,130.07,167.02,0.07621328913831885,0.0008
26,167.02,214.45,0.06573032474444127,0.0011
27,214.45,275.36,0.06996316300401269,0.0007
28,275.36,353.57,0.07262441758614567,0.001
29,353.57,454.0,0.07894054971996904,0.0008
30,454.0,582.95,0.06735082057229283,0.0009000000000000001
31,582.95,748.52,0.07558333862855242,0.0006000000000000001
32,748.52,961.12,0.0731117220288555,0.00030000000000000003
33,961.12,1234.1,0.08600516806486605,0.001
34,1234.1,1584.6,0.07197091837830796,0.0009000000000000001
35,1584.6,2034.7,0.07775195305088033,0.0005
36,2034.7,2248.7,0.02424910478035294,0.0002
37,2248.7,2485.2,0.026527249349351745,0.0002
38,2485.2,2612.6,0.01794143893698688,0.0001
39,2612.6,2746.5,0.013492240626004723,0.0002
40,2746.5,3035.4,0.03682130044217094,0.0004
41,3035.4,3354.6,0.03014141079859135,0.0002
42,3354.6,3707.4,0.03092977198297287,0.00030000000000000003
43,3707.4,4307.4,0.037571486414640025,0.0005
44,4307.4,5530.8,0.078316997273297,0.0010000000000000002
45,5530.8,7101.7,0.07931418297408956,0.0005
46,7101.7,9118.8,0.09000075791196198,0.0008
47,9118.8,10595.0,0.0387183392824854,0.0004
48,10595.0,11709.0,0.03829451650486072,0.001
49,11709.0,15034.0,0.09333265351635198,0.0009000000000000001
50,15034.0,19304.0,0.07867726044656315,0.0008
51,19304.0,21875.0,0.0480833679785998,0.0008
52,21875.0,23579.0,0.024908579666020576,0.0002
53,23579.0,24176.0,0.008926667250412338,0.00030000000000000003
54,24176.0,24788.0,0.008924527739086991,0.0
55,24788.0,26058.0,0.022354618413901267,0.0
56,26058.0,27000.0,0.015931367479705305,0.0001
57,27000.0,28501.0,0.02177462734706437,0.0002
58,28501.0,31828.0,0.043742150416210476,0.0002
59,31828.0,34307.0,0.02414151003847662,0.0002
60,34307.0,40868.0,0.07164288541506517,0.0010999999999999998
61,40868.0,46309.0,0.0482089358186127,0.0006000000000000001
62,46309.0,52475.0,0.04844197941063337,0.00030000000000000003
63,52475.0,56562.0,0.03325884558228178,0.00030000000000000003
64,56562.0,67380.0,0.0794989201346834,0.0010000000000000002
65,67380.0,72024.0,0.03442050759194655,0.0002
66,72024.0,79499.0,0.04513714720895935,0.0007
67,79499.0,82503.0,0.020489657668180016,0.00030000000000000003
68,82503.0,86517.0,0.024869458915092284,0.00030000000000000003
69,86517.0,98036.0,0.061246186294085014,0.0012000000000000001
70,98036.0,111090.0,0.06913439806871122,0.0010999999999999998
71,111090.0,116790.0,0.019980186535645574,0.0002
72,116790.0,122770.0,0.025905207639870736,0.0004
73,122770.0,129070.0,0.03093364800517661,0.00030000000000000003
74,129070.0,135690.0,0.035697249725133426,0.0004
75,135690.0,142640.0,0.02727213536306993,0.0007
76,142640.0,149960.0,0.03749864633762143,0.0007
77,149960.0,157640.0,0.02892804365942364,0.0007
78,157640.0,165730.0,0.026961766904600136,0.0004
79,165730.0,174220.0,0.027491703490899577,0.0004
80,174220.0,183160.0,0.04106334117706778,0.0002
81,183160.0,192550.0,0.03782098220392839,0.0007
82,192550.0,202420.0,0.039685080482247684,0.0006000000000000001
83,202420.0,212800.0,0.04156959282734206,0.0006000000000000001
84,212800.0,223710.0,0.03987671835818849,0.0004
85,223710.0,235180.0,0.03307265936038498,0.0007
86,235180.0,247240.0,0.0408327492538252,0.00030000000000000003
87,247240.0,273240.0,0.08064627611979167,0.0007
88,273240.0,287250.0,0.031630359527156246,0.0004
89,287250.0,294520.0,0.017641644474910192,0.00030000000000000003
90,294520.0,297210.0,0.0072177191184329735,0.0001
91,297210.0,298490.0,0.003410566677037039,0.0001
92,298490.0,301970.0,0.010495134597672767,0.00030000000000000003
93,301970.0,333730.0,0.0783583005590395,0.0017000000000000001
94,333730.0,368830.0,0.10284927641817694,0.0012000000000000001
95,368830.0,387740.0,0.055466437653309865,0.0009000000000000001
96,387740.0,407620.0,0.047862625270541484,0.0009000000000000001
97,407620.0,450490.0,0.08956786696431776,0.0008
98,450490.0,497870.0,0.11370905069909418,0.0022000000000000006
99,497870.0,523400.0,0.053001078961661466,0.0015
100,523400.0,550230.0,0.07117433985013048,0.0013000000000000002
101,550230.0,578440.0,0.04727688028661277,0.001
102,578440.0,608100.0,0.06009348087553816,0.0014000000000000002
103,608100.0,639280.0,0.06435105394451247,0.0008
104,639280.0,672060.0,0.05655470691116006,0.0012000000000000001
105,672060.0,706510.0,0.06445000118811042,0.0012000000000000001
106,706510.0,742740.0,0.08819688347868929,0.0017000000000000001
107,742740.0,780820.0,0.06796985240992412,0.0019
108,780820.0,820850.0,0.09376633114428944,0.0016
109,820850.0,862940.0,0.07744299290107014,0.0022000000000000006
110,862940.0,907180.0,0.08600942230959456,0.0021000000000000003
111,907180.0,961670.0,0.13856921653815907,0.0023
112,961670.0,1002600.0,0.06764959347179542,0.0014000000000000002
113,1002600.0,1108000.0,0.18175970236347266,0.0036000000000000003
114,1108000.0,1164800.0,0.10521888038246104,0.0021000000000000003
115,1164800.0,1224600.0,0.08896170323972513,0.0020000000000000005
116,1224600.0,1287400.0,0.11094890998596907,0.0021000000000000003
117,1287400.0,1353400.0,0.08400117007386705,0.0021000000000000003
118,1353400.0,1422700.0,0.10677963894522147,0.0021999999999999997
119,1422700.0,1495700.0,0.10810548788359271,0.0022
120,1495700.0,1572400.0,0.1009796062717389,0.0015
121,1572400.0,1653000.0,0.11919116313712667,0.0030999999999999995
122,1653000.0,1737700.0,0.11945082565578224,0.0023
123,1737700.0,1826800.0,0.1288908022500686,0.0033
124,1826800.0,1920500.0,0.10761509455972258,0.0021999999999999997
125,1920500.0,2019000.0,0.13581041456377405,0.0028000000000000004
126,2019000.0,2122500.0,0.12175987375276223,0.0028
127,2122500.0,2231300.0,0.15967072470627802,0.0033
128,2231300.0,2306900.0,0.07981334271848031,0.0015000000000000002
129,2306900.0,2345700.0,0.06739695385116093,0.0009000000000000001
130,2345700.0,2365300.0,0.02062052700289211,0.0008
131,2365300.0,2385100.0,0.02118242042539447,0.0004
132,2385100.0,2466000.0,0.10427117238132251,0.0026000000000000003
133,2466000.0,2592400.0,0.14208309138629788,0.0028
134,2592400.0,2725300.0,0.18364177561005368,0.0036000000000000003
135,2725300.0,2865000.0,0.17333404065738037,0.004
136,2865000.0,3011900.0,0.16861027096106176,0.003799999999999999
137,3011900.0,3166400.0,0.14898324287298445,0.0029000000000000002
138,3166400.0,3328700.0,0.15083985363291955,0.0041
139,3328700.0,3678800.0,0.34866454955279863,0.008000000000000002
140,3678800.0,4065700.0,0.3922859895689589,0.008299999999999998
141,4065700.0,4493300.0,0.45383160651624077,0.0109
142,4493300.0,4723700.0,0.24490645481343223,0.0067
143,4723700.0,4965800.0,0.21512560544405787,0.0055
144,4965800.0,5220500.0,0.21023984773647234,0.0061
145,5220500.0,5488100.0,0.24953662137806992,0.006399999999999999
146,5488100.0,5769500.0,0.28710630895199896,0.0079
147,5769500.0,6065300.0,0.24864347308362905,0.0060999999999999995
148,6065300.0,6376300.0,0.2686542079608571,0.007800000000000001
149,6376300.0,6592400.0,0.2035229333084529,0.0053
150,6592400.0,6703200.0,0.07993484287773231,0.0024000000000000002
151,6703200.0,7046900.0,0.29029263216864304,0.0082
152,7046900.0,7408200.0,0.35243169721700435,0.008700000000000003
153,7408200.0,7788000.0,0.30890939626969705,0.008400000000000001
154,7788000.0,8187300.0,0.37662901077719585,0.009900000000000003
155,8187300.0,8607100.0,0.3363475938735743,0.0089
156,8607100.0,9048400.0,0.41516924033899516,0.0097
157,9048400.0,9512300.0,0.4118264727963177,0.0119
158,9512300.0,10000000.0,0.4605050218062587,0.013500000000000002
159,10000000.0,10513000.0,0.4209330692787191,0.013300000000000001
160,10513000.0,11052000.0,0.4720028805627015,0.014300000000000002
161,11052000.0,11618000.0,0.4653643373891618,0.0137
162,11618000.0,12214000.0,0.46496680534028234,0.013800000000000002
163,12214000.0,12523000.0,0.30373034317411973,0.0076
164,12523000.0,12840000.0,0.2643694718949609,0.007899999999999999
165,12840000.0,13499000.0,0.5047137348289367,0.0142
166,13499000.0,13840000.0,0.2962309068151764,0.0083
167,13840000.0,14191000.0,37.523986762567354,0.5011
168,14191000.0,14550000.0,0.0,0.0
169,14550000.0,14918000.0,0.0,0.0
170,14918000.0,15683000.0,0.0,0.0
171,15683000.0,16487000.0,0.0,0.0
172,16487000.0,16905000.0,0.0,0.0
173,16905000.0,17332000.0,0.0,0.0
174,17332000.0,19640000.0,0.0,0.0
175,19640000.0,20000000.0,0.0,0.0
176,20000000.0,21000000.0,0.0,0.0
177,21000000.0,22000000.0,0.0,0.0
178,22000000.0,23000000.0,0.0,0.0
179,23000000.0,24000000.0,0.0,0.0
180,24000000.0,25000000.0,0.0,0.0
181,25000000.0,26000000.0,0.0,0.0
182,26000000.0,27000000.0,0.0,0.0
183,27000000.0,28000000.0,0.0,0.0
184,28000000.0,29000000.0,0.0,0.0
185,29000000.0,30000000.0,0.0,0.0
186,30000000.0,31000000.0,0.0,0.0
187,31000000.0,32000000.0,0.0,0.0
188,32000000.0,33000000.0,0.0,0.0
189,33000000.0,34000000.0,0.0,0.0
190,34000000.0,35000000.0,0.0,0.0
191,35000000.0,36000000.0,0.0,0.0
192,36000000.0,37000000.0,0.0,0.0
193,37000000.0,38000000.0,0.0,0.0
194,38000000.0,39000000.0,0.0,0.0
195,39000000.0,40000000.0,0.0,0.0
196,40000000.0,41000000.0,0.0,0.0
197,41000000.0,42000000.0,0.0,0.0
198,42000000.0,43000000.0,0.0,0.0
199,43000000.0,44000000.0,0.0,0.0
200,44000000.0,45000000.0,0.0,0.0
201,45000000.0,46000000.0,0.0,0.0
202,46000000.0,47000000.0,0.0,0.0
203,47000000.0,48000000.0,0.0,0.0
204,48000000.0,49000000.0,0.0,0.0
205,49000000.0,50000000.0,0.0,0.0
206,50000000.0,51000000.0,0.0,0.0
207,51000000.0,52000000.0,0.0,0.0
208,52000000.0,53000000.0,0.0,0.0
209,53000000.0,54000000.0,0.0,0.0
210,54000000.0,55000000.0,0.0,0.0
